ENSXETG00000020444,ENSXETG00000034361,ENSXETG00000027596,ENSXETG00000016681,ENSXETG00000040503,ENSXETG00000016572,ENSXETG00000009516,ENSXETG00000001339,ENSXETG00000011825,ENSXETG00000014751,ENSXETG00000039639,ENSXETG00000000488,ENSXETG00000016385,ENSXETG00000027751,ENSXETG00000007390,ENSXETG00000024684,ENSXETG00000046081,ENSXETG00000017402,ENSXETG00000023384,ENSXETG00000005347,ENSXETG00000012164,ENSXETG00000002665,ENSXETG00000010814,ENSXETG00000008512,ENSXETG00000011722,ENSXETG00000002770,ENSXETG00000014251,ENSXETG00000006391,ENSXETG00000009903,ENSXETG00000007404,ENSXETG00000011651,ENSXETG00000014771,ENSXETG00000010361,ENSXETG00000034500,ENSXETG00000044879,ENSXETG00000027727,ENSXETG00000015926,Terms
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18636753,26289635,23321469,35120969,34343541,34491544,10749851,11777942,14570900,15254228,26240280,31536826,35013429,33794982,33885378,31701124,25907681",,,,,,,ilf3
31425889,19487983,"28293639,19609968",,28293639,,"18306214,29525604,31823891","33726573,19206110",,,24523552,33600051,,30347620,,22757692,22617447,"26063807,31506724,33299887,33871019","22757692,31391270,29540307","16528249,20047682,24188528","32737368,33569461",31797905,28636309,19772651,"31425889,28324005,24658151",,,"31620020,21814176",,34938367,"32196615,28666451",,"34029576,12080185,30655626,29427714",,,,,injury
"12482924,31425889,22152112","12644575,36014946",,,"16040025,33143303","35220830,27760456,21503878,25815730","24503594,24823948,31793855","23200852,31576248,26801685,32210829,29547667",,29967323,"15140795,11525732,19253283",,,34944635,,"17892558,24608635",,31506724,32545553,"19253283,34944635,24623079,23236463,21149303",,"27053151,31827252",,,"31425889,36014946,22721921,23825951,32596266,20890123",,,"32596266,26438063",,,28666451,34944635,"23796494,19462976,21526488","33188200,31015652",34944635,,,matrix
"28350824,26962295,35563075",33403290,,"26487969,29849043,28163244",,,"26487969,31191638,31938151,31823891","31583475,31576248,33850810,29547667,29254211",,,,,,,,31191455,27380244,33299887,"29540307,32545553,33240452","24098404,20003521,32319572,24710523,30988666,23079573","32737368,24552547,31694235","20381070,26840285",,"32493433,33260872",32596266,,,"26487969,32596266,31620020,31935846,30068910,28972996",,,28666451,,29036266,"30068910,27573699,29117212,34718455",,,,biomarkers
32331315,"24417559,32272486,18614564",,28163244,"32325080,32631829","15383550,17051482,25954033,26674964","18180367,30890743,25825233",,,,"31981477,35886974,32034402,33771997",,26305884,,,"16027166,22170863,30890756",,"20095964,23801983","25594180,18802457","20883646,34207643",,,"28257485,33361324","15146077,32039234","31021473,23825951,32596266,32842715",,32522152,"32596266,32842715,25555378,33193631,30356767,26465331,33688012,24699271",,33492732,"23321469,35120969,17289661,19384857,25929241,24954387",,15210711,"8307948,34273022,32435206,25119981,29955171",,,"12709428,17997606",andor
30259138,18366691,,35749873,"33386644,31845906,33896883,27660103",29901112,,32210829,,,"32286661,12403470,19144721,32468006",19364821,"27203244,30411496",,,,,22927069,31888678,"7876104,15557202,34306096,31781249,15901252,29439554",26581954,"31819004,29495482",21600186,,"31021473,33174841,25418729",,23000143,"25141105,28513600",,,"26289635,14570900,28487382",,,"18304977,20492553,23691188,20496099",,,,stem
,21695218,,,"14645121,15347652,22011226,18057103","21723936,17239227",29525604,,26394147,,,,,,22837305,"18524908,20036644,30459560,23418567",,"26063807,28393127,30409805",26668058,,,26395408,,32748085,,,,"21814176,26465331,23796209,20547565,31133003,26486652",,33492732,"34343541,7744952,22912857",,21776009,"16600425,18304977,20492553,18633122,22834699",27911326,,31851938,transgenic
,,,,26985665,,,,"20563989,15505029,18502750,19102727,24733397,25627686,12407145,14596915,19458327,26394147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,rdh10
,,,,,"18056716,24042587,16115867,15383550,12815054,18498429,17335796,12895028,27760456,26836061,21503878,15456894,15581883,26674964,27335460",24503594,"27355534,34656743,33905521,32112990,32210829,29547667",,26191006,,,,,,24608635,,31870285,,"7694679,16677835,24732964,34306096",26581954,,"19731322,21252495",,,,23353889,,,,34343541,,28391978,27573699,,,"12676584,15657427",bone
,,,,,,31191638,,,,21734034,,,,"16244660,16244664",31191455,,,,,28975734,,,,,,,"19417104,21394738,10428815,11402051,14976550,15316019,22987813,24140707,28555368,25545414",,,"21123651,22912857","25838379,25278503",18271751,"16215987,16914118,19338753,19424157,34273022,32605139,23716598,23604074",,,,ribosome
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10944119,8253832,1903841,14675757,16157662,16914118,8307948,8314769,15003625,19740108,11976098,34039408,33553005",,,,eif-5a
,,,,,,,,,,,,,,,,,,18802457,33255149,31635106,,"12393718,16446107,19731322,21309041,20087844,2050125,2095458,35637209,16573691,21687966,27235438,21602352,33780465",,,,,"35303100,28367141",,,"33255149,28367977",,2895105,"21173025,21383540",35265054,,,iron
30259138,"35605315,18366691",,,,,25825233,,,,"20454556,28436273",,,31355153,,,,,18802457,"31101113,33255149,11932413",26082896,"34549988,30918062,24811072","22293958,21602352","30918062,27177187,29238354","23825951,22933270,26088507",,,"26082896,12782322,19824013,35303100,27303729,22288420,21825280,23105821,26528317,32708393,26438063,25545414,29176891,22125433",,,"33255149,32636874",,"12782322,16102003,31654781","23105821,18633122,27822460,33044977,31031728,27098988,25119981,25240600,20496099","29202712,25812137,24391152",,,pathogen
,,,,"7898305,24056062,8643671,17597530,18057103","19497851,12620122,26685160",,9096311,,,"22416126,9393982,15140795,22966205,8355702",,"20059949,20100936",,,,"14738879,21852956,18927152",,25594180,,,,"22293958,17936691,28257485",15146077,,,"15199122,20018852,9271389",22206011,,33034629,,,"17141802,11877442,26715182,33889951,23124252",3119589,21151342,,17997606,drosophila
,,,,,,,,,,,"19364821,11713533,15563843,17289077,21509660,19883659,10393184,10913173,12065898,12944466,16109376,16109377,17643375,24360279,27189267,27292648,24515107,18391197,17452463",,,,,,,,,,,,,,,,,,,,,,,,,,p-tefb
,,,,,,,,,,,,"19524571,24794231,22184064,26831658,27666310,27203244,26305884,28241067,26220330,33153214,30411496,29557391,28381877",,,,,,,,,,,,,,,,,,,,,,,,,ccny
,,,,,,"33686586,18039846,20015864,20538007,24823948,31793855,16341127,30666459,33208942,15060138,17557114,29467488,30890743,18306214,14964690,16420440,20844742,21049064,26112988,28903035",,,,,,,,,,,,,"1999398,32183175,31191748",,,"25240868,17993523",,"1729596,8107114",,"10871379,9271389",25545414,,,,,"12059788,12161445,20919932","27306458,8314769",,,,acidic
"26962295,30259138","1996112,33403290",,28163244,"30797919,15672400,32347797,33896883","18498429,17051482,28479339,26332462",31694956,"31583475,33574092",,,,,,,,,,28473402,,"20003521,35886053",,"22930593,20381070,31827252",,,29702669,11375989,,"11402051,33193631,32708393,19132089,20403389,31835328,35570264,32295617,32098812",,26861137,,,"17707404,21850687","11976098,33921057,34039408,29117212,29955171",,,,population
,25209663,28077931,,32631829,29246798,"27404450,31823891","27355534,31583475",,24284412,33729478,"24360279,24515107",,"35892672,34944635",21503958,"12442332,34299332,22757692",,"31904168,31337710,29581457","34299332,22757692,31206022,26668058,18802457","35892672,34944635,33255149",29453425,"26840285,29495482,24169046","20015225,18929534,16573691,27235438",32493433,,,28584052,"28367141,26150413,26528317,26465331,27228164,35211128,29890774,29228011",,33492732,"33255149,31197210","34944635,31197210","35809345,23618867,20919932,27239855,29518406,28231391,20649472","21173025,21383540",34944635,,"10594042,12507421,17997606,18248177",homeostasis
,,,,,,,,,,,,,,,,,,,,,"25693797,16251277",,"27177187,32243451,32748085,19772651,15575968,29238354,23620288,23073011",,,,"15998247,35817801,28513600",,,,,"12913160,12529539,16884685","16600425,18304977,20492553,21173025,21383540,18633122,20018887","15722347,17098851,14730085",,,arabidopsis
,,,,"19956411,23139843,26985665,27097562,23145006,27660103",,24147004,28002843,"15505029,12407145,19458327",,,,,,,,,,,,,,,,,,,,,,,,,,,,,rpe
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10944119,15262146,16987817,17213197,17360499,18067580,19379712,2492279,27306458,3095320,33547280,32882370,14622290,16519677,1903841,16215987,16408210,19120453,19424157,3119589,8307948,8314769,19740108,34273022,32605139,11976098,33044977,27098988",,,,hypusine
,18366691,,,,,,,,,,,,,,,,,,24623079,,29495482,"23666536,30143697",,,,,"23008267,26503705,23267362,33920578,22802721,20547565,35817801",,,,,,"23267362,20492553,21173025,21383540,23834507,19575787,21569547,19025623,33271965",,,,root
,,,,,,,,,,,"17289077,17452463",,30655546,,26792178,,,,,30259240,,"8107717,7592562,21600186",,"22825850,29220657",,"19188440,19377461,20018852,23629655","31671511,23796209",,,,,,"15262146,18067580,2492279,32882370,1903841,16408210,3119589,8314769,34273022,32605139,11976098,28592803",,,23508108,lysine
21062920,,,31173497,18057103,"26550823,26674964","20015864,11729309,25825233","9096311,16540541,27287801,29055040,26650439",,24528242,"11259580,19144721",,,,22837305,"16091362,24608635",,,1900194,,"28356383,30259240",23842751,,,31723020,"16162498,19592703,20410308",9271389,26129968,,,,,,14675757,,,"19481530,12477726,12709428,15539428,20678994",ligand
,,"12819782,15220430,16135753,18029264,18695251,19131329,19289464,23159739,24312579,26074468,26472928,27302160",,,,,,,,,,,34944635,,,,,,34944635,,"22930593,25151410,28321488,28632987,12056811,20381070,1459448,23842751,31797905,32333447,29235198,26072516,23422076,32543048,28934368,31827252,31819004,21464306,20877624,32906706","25482442,23348515",,,,,,,,,34944635,8041739,25410248,"34944635,15562318",,,synthetase
,,,,27097562,"15383550,35220830,25954033",31217244,,,8798450,,10329126,22184064,,"16271702,17239655,22837305","12082633,30459560",,17509612,,"7694679,19469553",33888601,"23842751,26360774","22070747,24920668,26511319,19917609",,"22933270,18575609",,"10976766,23000143","26360774,33597172",,,,,"21969592,8496166",,22046314,,"12676584,15657427",murine
"32325910,34357055,35563075","12792025,19754951",,33105837,"16510503,16961590,22011226,18057103",17239227,,,,,,,32796722,"33017189,30347620",,"32796722,14656991",18973346,,,,19864425,30918062,,30918062,,,,"34073234,27303729,22288420,32708393,31835328,25545414,32628683,29228011",,32111039,,,,,,,,vesicle
"34357055,27213757",30197913,,,,,"16420440,20844742,31552903,32959027",,,"28270566,24284412","26571461,34810232",,"28241067,26220330",30347620,,"30890756,23418567,34416235,29476059",12221279,33871019,32959027,"31552903,19469553",,31168311,,,,,,18222016,,"32111039,27756895",,,21969592,,,,,synaptic
,"1959619,12792025,15119826,32241204,31995605",,,,,,,"18502750,19102727",,,,,,,,,,30289745,,,,,,24658151,,,"26150413,33688012,25545414,22125433",,,,,"17329258,23618867,12161445,12714748,19064914,33889951,15956211,15824112,17409354,14586471,15706081,2895105,7961686,8041739,8344960",,,,31851938,oxidation
,33679438,,,15465488,,32873862,,,,,,,,,,,33871019,,,,29495482,15060047,32735576,,,,"12543933,16534748,19824013,22288420,26528317,32708393,26438063,34071222,24616729,27228164",,,33885378,,"34130124,23796494,1383159,16102003","16408210,31692260,27822460,30113774,31031728,25119981,20496099,27379139,25410248",22046314,,,wall
,,,,,,,,,,,,,,,,"27380244,11771749,20218812,17893145,28613156,25736597,25547487,12221279,22617447",,,,,,,,,,,,,,,,,,,,,arpp-19
"30935896,35681892","19754951,33679438",19289464,,,,,,,29967323,"16767080,34810232",,28241067,"30185885,26744461,33017189,30858501,30347620",,,,31870285,30289745,"1999398,23009842,17888914,20883646,33255149,26702755,32867742,31191748,24188528,27646125",32737368,,,,"26823915,28265575,26305539",,,"22615881,25318674,29228011",,19665017,33255149,,"21969592,20873783","35681892,16157662,16408210,32476322",,,,actin
"28350824,26104117",33679438,,,"19956411,27660103",,,"25046226,34573275",,,,,,26744461,,,,33299887,"31408947,29540307,33752971","3500230,15557202,34207643,32742246,27646125","32737368,24552547,31080378",,25482442,,"28249764,32471444",,10779346,"34073234,27602567,35303100,28787542,25545414,30068910",,,,,"34130124,8554614,30655626,28231391,29554571","28787542,30068910,3095320,19740108,27573699",,,,blood
,36014946,,,"12588845,16040025,25281935,32347797,23867227,22564795,17597530","18498429,23571216,19007769,15581883",,"24731717,23742632",,,31981477,27292648,,,,31083566,,,23073781,,,"31168311,24169046",,,"36014946,28249764,28555196",,,"32448582,33083141,28787542",,,35614067,,"28529127,25808059",28787542,,,"12507421,31851938",fat
,,,,,,,,,,,,,"26818658,26991250,30655546,29546593,29715315,30185885,28468944,26744461,30858501",,,,,,,,,,,,,,,,,,,,,,,,marcks
,,,,,,,,,,,,,,,,,,,"35414502,33686397,20883646,32319572,33349268,30787051,28179017",,,,,,,,,,,,,,,,,,tmsb10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23321469,10749851,11739746,26240280,26891316,35614067,34110282,28487382,22912857,35013429,33693959",,,,,,,nf90
"32331315,22152112",7733935,,,33963285,"35220830,27760456,29745813",,"12960062,21911385,29254211",,,,,33153214,26818658,,"10526337,16027166","17893145,18973346,14738879",19095005,,"19369144,20883646,33255149,34306096,24188528","34135859,35585045",26395408,"21687966,17993523",,"28249764,18575609",,,"25555378,27303729,28367141,26150413,32708393",,,"33255149,31197210",31197210,"18052930,20144717,20807727,25808059","33553005,20496099",,,,secretion
,25853266,,,25005894,,,,,,16641145,24515107,,,,,,,34384932,,,,,,,,"10675337,10920196,12235138,12244100,14532282,15190068,16624878,17578910,20200153",30375416,,,,,,,,,"10594042,11250900,11971985,12676584,15657427,16957778,17116691,23508108,8670870,9430642,9558366,11997499,12477726,12709428,19039140,24529706,31851938,15539428,16189181,18248177,23132854",coactivator
,,,,,,,,,,"16641145,22416126,25765647,28712728,21507896,33729478,31981477,17393485,25326457,35886974,33284322,33476259,33495278,32034402,32332923,33771997,24523552",,,,,,,,,,29530978,,,,,,,,,,,,,,,,,sfpq
,,,,,,,,,,,,,,,,20218812,,,,23665500,,"25482442,24920668,26511319,14643893,18760763,19731322,21252495,21309041,21653323,8107717,20087844,23348515,2050125,2095458,7592562,33067979,35911972,19917609",,"28193846,28324005",,,,,,,,,,,,,erythroid
,"3141400,2018041,1959619,26929434,12792025,24386424,26298201,34311469",12819782,,,,,,,,,,,,,,,31133884,"19107570,27626371,34384932,34040028,18802457",31101113,33569461,31819004,"2095458,23666536,28765283",,32471444,,,"27257648,27634466",,,,,"33889951,15210711","2852136,3062365,3540607,25119981",14730085,,31851938,respiratory
,1989603,19289464,,,,"24965446,25825233",,,,"9409622,21734034",,,35892672,16244664,,,,,35892672,,,21498770,"32493433,27721687,27177187","19596686,32596266",,,"32596266,18000335,17118580,23001565,12692531,14976550,24140707,25555378,28267607,32512821,35817801",,,"17289661,26240280,31197210","31197210,25838379",18271751,"33547280,16215987,19424157,32435206,22163185,34039408",35265054,12773398,,ribosomal
,"12792025,18631365",28077931,28433741,,17335796,11430900,,,,32294980,"12037672,24515107",29557391,,,,,22968445,26934888,"22860605,35395531",31635106,"28632987,28934368,30005605,20074381","31134003,23666536,29375488,33780465,31732577",,32294980,,10779346,"20074381,12782322,27257648,18973667,25545414,29034959,28513600",,,24954387,,"12782322,20144717,22166015,15210711,11741925","1903841,2852136,3540607,27822460,31031728,25240600,23691188,29879216",25812137,,,grow
,,,,"33386644,22011226,34143204,18057103","25815730,27335460",24965446,,26394147,,,"16245309,24360279,27292648",,,,,"20218812,21852956",,,,,,,,31021473,,"10675337,10984507,15190068,17578910,9334261",20547565,,,"23321469,35120969,34343541,11777942,14570900,26240280,25907681",,21776009,28592803,21151342,,23508108,enhancer
,,,,,16115867,"14964690,31363119,27404450,25116916",,14596915,8798450,"15140795,11525732",12065898,,35892672,,,,"22321011,31315980",,"35892672,19296525,17567946",23665500,"28321488,32906706",14643893,,,,,29342075,,33492732,31536826,,"12059788,12080185,18024958,33889951","14622290,16519677,18304977,22046331,19025623",14730085,,18248177,isoforms
,19754951,,,31968244,"12895028,27760456,21503878,26512061,18158147,25815730",,31486991,,,22215678,,33140506,31355153,,"20945367,17873332,28176357,18097506,29476059","20218812,18927152",23749380,,"20883646,35782537,35370544",,,29954941,,,,,31018578,,,"8631310,26240280,25918244,30428365",,,,,12773398,,maturation
,,,,33495500,"29246798,35909540",,,,,"31981477,34324523",,,"27804976,28533755,19014685,26744461",,,,,20454581,"17190607,23308156",,"27053151,34549988,20074381,30918062","31134003,17993523","30918062,32039234",25418729,,28302723,"20074381,31620020,17449658,23105821,28267607,25202477,30068910,27809902",,,"17289661,28487382,26121143,32636874",,,"23105821,30068910,22046331,23834507,27822460,31015652,25240600,19025623,29955171,34051757","35265054,29202712",,,transcriptome
,,,,"35474406,30928384,16961590,24056062,32347797,23145006","21503878,32239379,15456894,20573696,15581883",,23200852,,,"22966205,11897684,20932480,19144721,21680841,22669741",,,,,,25736597,,,19296525,,,"2095458,35637209,27235438,21602352,17993523,33780465,15060047,28765283,33361324",,"33174841,20673990",,12244100,"26150808,28787542",,,"35120969,26121143",,23722165,"28787542,2852136,8314769,33188200",,,,repress
"26962295,32325910",31986467,,34102191,"35644505,32549762,28988713",,,33574092,,29967323,19144721,,26783066,26818658,,22170863,"31943339,25736597,32549918","24908109,28768491,28566298","29540307,33752971,33240452,31938350",34306096,"33888601,28315483,26581954",24169046,"22070747,32499479,24821812",,,,,"33597172,34071222,31295423",,,"34343541,28666451",,"20873783,28828729,33889951","15262146,27573699,33044977,25119981,34955646",,,15539428,therapy
,,"18695251,35154294",,,"35220830,31638262",,,,,,,,,21503958,14741382,,,,,,,,32296580,"22825850,16360036,20673990",,,,,,"26240280,35614067",,15105503,"15371445,17187778,32605139",,,15657427,p53
"32331315,33072792,32325910,31425889,30259138","28366030,12644575,27672209",,,,"21937107,18322277",24965446,,"15505029,12407145,19458327",,28436273,,,,,,,,"12611891,27672209,18721790,1900194","20883646,31101113",,,,,"31425889,27412694",,,"34073234,32448582",,,,,"18024958,25906064",,,,,bovine
34357055,28139165,,,"22715480,22508046","15672396,21116826",,19206110,,,"25326457,24523552",,,35892672,,,"12944371,12221279",,,"35892672,29026428",31080378,"26072516,32543048",,,33174841,,,23008267,,"30357511,23306908,22025680,35445918",,,,"15452064,17360499",,,,nerve
,"7733935,31995605",,33105837,,,,31486991,25627686,,,,,,,,"17893145,18973346,14738879",,,,"12941645,31234367,19864425","31168311,24169046","22070747,35158652",,28324005,,,17118580,,,"35614067,31197210",31197210,"20807727,25808059",,,,,insulin
,32272486,"18695251,23159739,28077931",,33386644,34508305,24965446,28002843,,28270566,17965020,,,,16244660,,,,,11932413,"35585045,20974809",31819004,"18929534,21498770",,"25678563,24027268",,,"23008267,18222016,23001565,23184662,30553726,18065650,30068910,35817801",,,"8631310,7744952,35614067,28487382,25918244,31701124,25741220",,18271751,"30068910,3119589,33188200,23716598,23604074,31906144",,,24529706,translational
,,19131329,,"32325080,30928384,34559577,33896883","32239379,32951317","12628186,16341127,16818237,24965446",,18502750,,"22966205,11259580,22118625",,,34944635,"18213612,15699139",,"32077747,25547487",,34040028,"34944635,30787051,28179017",31694235,26360774,20087844,"27721687,32748085","29220657,32575635",,,"26360774,22615881,33688012,34486252",,,"15254228,17932509,31197210","34944635,31197210",,"15371445,16987817,32476322,32817722,33592076",34944635,,,silence
,"29580769,28981788",,,14645121,,32574681,,,,"8449401,33476259,33771997",,,,,,,,12616398,,,,,"15146077,19325628,28076346,28502770,21516107,28811544",,,33517344,,21667333,,29945054,,,16987817,15562318,,,intron
,"15119826,15168611,16645307",,,,,,,"19141675,25627686,19458327",,9756848,,25188325,,,,,,,,,,"33307066,20015225,25240868,26511319,14643893,1570328,32499479,2050125,2095458,7592562,35911972,19917609,31732577","18984161,23073011","28249764,29220657",,"20200153,28302723","15998247,24140707,35817801",,35445918,,,"22450240,15105503,2895105","17213197,34947982,33044977",,,,catalyze
,"1674640,7219534,7219535,28139165,11454754",,,31969185,,,,,,9341872,,,,,"10526337,10781099",,,"11181577,15975579","3500230,15557202",,21464306,1570328,"14562106,32550546",,,,"14562106,32550546,16901746,19417104,28555368",,,,,14562106,"1903841,23716598",,,18248177,codon
12802069,"1712754,18366691,27907124",,,,26550823,21159877,26158506,,35887102,"22416126,15590677,33729478,21734034,22215678,35886974","15563843,17289077,10913173",,30717652,,,,31506724,,15557202,35585045,28321488,27235438,"15146077,19325628,21816274","12093748,31723020,27412694",,"10984507,15705566,17998332,28584052",19417104,,,"7922339,11739746,14731398",,8188254,,,,12676584,recognition
,25209663,"12819782,23159739",,"11906214,15672400",35220830,,"16540541,21911385",,24284412,"9393982,17537995",,20100936,,15699139,,,,31206022,18452710,"33888601,19864425",,"14643893,1577484",,,,,"23001565,24648518,21394738,10428815,12782322,12692531,14976550,29228011",,,11777942,,"12782322,20144717,16102003","10944119,19424157,20492553","17098851,18325611",,"11971985,9558366",translocation
,21695218,,"35749873,29849043","18728160,19956411,20396904,22715480,32277752,23867227",35909540,,"32112990,29055040,26650439",,24528242,"11259580,11897684",,,,,,,,31408947,"1999398,31191748","12941645,34135859,24552547",29495482,28257485,"32243451,32748085",,,"10984507,19131338","27602567,26528317,35211128",,,,,"29804005,28529127",20492553,,,"12709428,15539428,17997606,18248177,23132854",hormone
,,,33105837,,,"18039846,20538007,11163245,11830591,15287743,16341127,29467488,35416576",,,,,"16245309,16109376,17452463",,30655546,,,,,,,,,,,,,"15960975,20018852","31671511,23796209",,,,,,"19379712,22771473,28592803",,,"9558366,31851938,31272713",acetylation
,,,,27660103,29246798,,28002843,,,"30270045,20454556",,,29715315,"18213612,15699139",,,,"32918239,31391270","3500230,16528249,33255149,33349268",,26360774,17555569,,"18775702,22721921,33269646,18575609",,,"26360774,29176891",,,"33255149,34343541,34110282",,"34029576,20807727,29554571",,25812137,,19481530,macrophage
,,"12819782,35154294,19609968",34102191,"19890851,12710967,12588845,15347652,29440302,25005894",,18180367,"26801685,33574092",,,"32796906,20536739,22669741",10364329,22184064,29715315,32796906,,,,34384932,19369144,34199160,,,,,19592703,"10871379,10984507,12670868,17578910,32479599",26465331,,,"15452137,34343541,14731398,24954387",,"29804005,25204677,15956211",3540607,22046314,,15657427,activator
,,,,,,"32574681,31217244,30666459,32694517,33045004,33208942,31694956,31363119,31608791,28903035,32269123",,,,,,,,,,,,,,,,,,23825951,,,,,,,,,,,,,influenza
,,,,,,"18039846,20015864,20538007,24823948,31217244,31793855,21159877,33045004,30890743,14964690",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anp32b
,,,,,,"11430900,31676851,24965446",,,,"21933836,25326457,33284322",,33153214,,,,,,,"19369144,24188528",33888601,,29954941,32039234,"31676851,26088507",,,,,,"17289661,34110282",,,"32882370,15003625,34039408",,,,granule
,,,,,,,,,24284412,,,,,"16244664,16271702,17239655,21503958",,,"20095964,31315980",,29439554,35585045,"25151410,1459448,32906706","33307066,2050125",,,,"28302723,28584052","23450745,20403389,34063994",,,,,"23618867,11986303,20919932,25808059,29554571,15163410,15210711,8344960","23450745,20496099,25410248",,,,cytosolic
"11841538,12482924,15941723,29034528,30935896,26962295,22152112,35681892",,,,33495500,,15895553,31576248,,35887102,19253283,,"28241067,33153214",26991250,,,,,,"19253283,33356743,19369144,31886120,32867742,29900121,28539318,27646125",,27470985,,26162278,"22721921,25418729,32596266,20890123",,,"32596266,26438063,34071222",,"30357511,27756895",,,,"35681892,34039408",,,,adhesion
,"1928099,24800637",,,"33015792,28988713",,,,,"15489334,27930687","32286661,21507896,32796906","19883659,18391197","33039146,20100936","27804976,30717652",32796906,,"32077747,25547487,24618897,18927152",24001019,11181577,"23009842,33686397,23236463",28975734,,"1570328,19917609",,"22967762,28265575",,"19188440,23629655","14760707,34073234,28513600",,,32636874,,"27892488,29036266,16134099","16157662,11976098",,,,transition
30259138,33403290,,,33495500,,"24823948,31793855,30666459,32269123,24965446",,,,28436273,,,"25632391,31355153",,,,,31391270,"33255149,11932413",,"19114004,20877624,25479903",27235438,"27721687,32748085","18775702,18575609,26088507",,"10779346,10871379","19114004,35303100,26687036,20403389,25545414,29176891,24699271,28972996,35211128,27809902",,,"33255149,25965334",,28391163,"32476322,25240600,33553005,29117212,26689807",,,,infect
,"19487983,19754951",,,,,"18439902,25825233",,,,"21734034,15576338",27189267,,30858501,"17239655,11048657",20945367,,,,"31101113,32183175","33888601,30259240,16449382","30005605,20074381",21498770,,"32596266,29702669,26305539",,,"20074381,32596266,23001565,12782322,16534748,15998247,22615881,27303729,17449658,32817453,30356767,18065650,11452028,26465331,33688012,29176891,29034959",,,,,"12782322,20649472,15163410","32817453,23604074,22163185,29117212,31906144",,,,shock
,"31986467,31995605",,,,,,,,30733281,,,,30655546,"15699139,16244660,16244664,17239655,22837305",,,"11535622,12135771,19095005,21339484,26063807,17509612,20095964,24001019,31506724,23749380,16809425,35053257,31337710,31315980,23148318,32053184,33871019",31206022,,,"26395408,25693797",,,,,,"29433420,22125433,32098812,24616729,29890774",,,28367977,,"21916849,21994946,18052930,20144717,35809345,32185676",34976870,,,,reticulum
,"31995605,18631365",,,35474406,,,31583475,25627686,29967323,,,,30655546,22837305,,,,"32331968,32545553",,"29453425,19864425","31168311,24169046","33307066,22070747,33361324",,28324005,,"19377461,31227231","31620020,24616729,29228011",,,31197210,31197210,"34130124,27393003","8307948,32420127,22046331,31692260",,,"10594042,19039140",glucose
,,,,"35474406,33015792,19414065,22715480,24167467,30928384,14645121,24056062,34559577,32549762,32838760,31845906,32277752,22564795,33495500,25999792,32631829,33143303,27660103,17872382","19497851,17335796,21723936,33215805,30535431,30551440,26512061,25954033,28479339,29901112,12620122,29246798,25815730,31638262,26332462,27335460",,,,,19144721,,,,,,,,,,,,,,,,,,,,,,21776009,,,,,homeobox
,,,,,,31363119,,,,20454556,,,,,,,,31391270,33255149,,34549988,"27235438,17993523",,,,,"14760707,19824013,27303729,28367141,23105821,32708393,26438063,34071222,26195524,31671511,22059956,33688012,29176891,32628683,34486252,29228011",,,33255149,,31654781,"23105821,27822460,30113774,27098988,34976870",22046314,,,virulence
"12482924,12802069,30259138",,,29849043,"33386644,28988713,27660103","23571216,26512061",,12952927,,35887102,32332923,,,28468944,,,,,33240452,"24623079,26702755,33490244,32867742,35370544,28539318",,"26840285,30005605",,,,,,"26129968,19862763,29228011",,"26496923,19665017",32636874,,"17707450,8496166",,,,16189181,epithelial
21062920,"1900003,1996112",,,"32347797,18385377",17027239,31217244,16540541,19458327,,"21507896,34324523,15576338","12037672,16109376,17643375",20100936,,17239655,,,"17509612,22968445",,"1999398,24188528",,,32804944,19772651,,,"19131338,28584052","14976550,22125433",,35902094,19384857,,"22450240,8914536,11877442,20964547","15371445,8253832,16157662,8314769,32605139,23716598,33044977",,,,functionally
21062920,28139165,,,"22577225,31969185",,,,,,30270045,,,,15699139,"14656991,15983050,30890756,23418567,34416235",,"17509612,30384889","31391270,32331968",,"30305605,26082896","31827252,33228777,25479903,30918062",21498770,30918062,18575609,,33517344,"26082896,25555378,22288420,26438063,34071222,31671511,31852494,30815000",,,,,"25204677,16134099","32476322,27098988","25812137,22046314",,,pathogenic
,"1928099,2018041",,26706854,,,"33045004,31363119",,19102727,,,10329126,,,17239655,,,,,,,"28632987,29235198,32543048,21464306","26511319,1570328,21252495,21309041,8107717,12031592,19917609",,,,28302723,23001565,,,19665599,,,"17213197,18067580,2656688",,,,substitution
,,,26487969,"35303522,35474406,34306176,32838760",29145165,26487969,"21120994,19480240,33760186",,,"9393982,19439179",,"33039146,29557391",,,,"21509594,25547487","33299887,22968445",33240452,"12324571,18754322,32319572,30787051,24704991,32742246,30988666,23079573","24676454,35122182",,,,,,,"26487969,24648518",,,"34491544,33693959",,28391978,"15262146,17187778",,,,carcinoma
